TableNum,TestNum,TestLabel,TestID,Seed01,Seed02,TestScale,OutliersFraction,KFold,FeatureMethod,SizeNum,FeatureNum,AD_True,AD_LOF,AD_KNN_lar,AD_IForest,AD_Vote,KNN,RF,SVM,nnet,NB,C50,MLR,Stacking01,Stacking02,MetaModel01,MetaModel02,KNN_Time,NB_Time,RF_Time,SVM_Time,C50_Time,nnet_Time,MLR_Time,Stacking01_Time,Stacking02_Time
1,447,LWT,LWT1_14_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,448,LWT,LWT1_15_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,449,LWT,LWT1_16_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,453,LWT,LWT2_4_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,457,LWT,LWT2_15_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,PIT,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,460,LWT,LWT2_23_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,463,LWT,LWT2_26_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,GLGS,GLGS,PIT,GLGS,DHB,DHB,DHB,MGZ,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,464,LWT,LWT2_27_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,PIT,PIT,PIT,PIT,ITWB,ITWB,PIT,LWT,LWT,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,475,LWT,LWT3_24_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,ITWB,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,490,LWT,LWT4_61_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,LDR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
